SchoolYear,ISDCode,ISDName,DistrictCode,DistrictName,BuildingCode,BuildingName,CountyCode,CountyName,EntityType,SchoolLevel,LOCALE_NAME,MISTEM_NAME,MISTEM_CODE,TOTAL_ENROLLMENT,MALE_ENROLLMENT,FEMALE_ENROLLMENT,AMERICAN_INDIAN_ENROLLMENT,ASIAN_ENROLLMENT,AFRICAN_AMERICAN_ENROLLMENT,HISPANIC_ENROLLMENT,HAWAIIAN_ENROLLMENT,WHITE_ENROLLMENT,TWO_OR_MORE_RACES_ENROLLMENT,EARLY_MIDDLE_COLLEGE_ENROLLMENT,KINDERGARTEN_ENROLLMENT,GRADE_1_ENROLLMENT,GRADE_2_ENROLLMENT,GRADE_3_ENROLLMENT,GRADE_4_ENROLLMENT,GRADE_5_ENROLLMENT,GRADE_6_ENROLLMENT,GRADE_7_ENROLLMENT,GRADE_8_ENROLLMENT,GRADE_9_ENROLLMENT,GRADE_10_ENROLLMENT,GRADE_11_ENROLLMENT,GRADE_12_ENROLLMENT,ECONOMIC_DISADVANTAGED_ENROLLMENT,SPECIAL_EDUCATION_ENROLLMENT,ENGLISH_LANGUAGE_LEARNERS_ENROLLMENT
"20 - 21 School Year","82","Wayne RESA","82015","Detroit Public Schools Community District","03444","SER Metro YouthBuild Learning Academy","82","Wayne","LEA School","High School","City: Small","Wayne Region","         3","71","35","36","0","0","39","20","0","12","0","0","0","0","0","0","0","0","0","0","0","5","23","25","18","63","<10","19"
"20 - 21 School Year","82","Wayne RESA","82015","Detroit Public Schools Community District","03540","Southeastern High School","82","Wayne","LEA School","High School","City: Large","Wayne Region","         3","431","226","205","0","1","427","2","0","1","0","0","0","0","0","0","0","0","0","0","0","240","80","74","37","355","56","<10"
"20 - 21 School Year","82","Wayne RESA","82015","Detroit Public Schools Community District","03558","Spain Elementary-Middle School","82","Wayne","LEA School","Elem_Middle School","City: Large","Wayne Region","         3","295","139","156","1","0","289","3","0","0","2","0","33","39","28","28","32","40","35","26","34","0","0","0","0","242","44","<10"
"20 - 21 School Year","82","Wayne RESA","82015","Detroit Public Schools Community District","03638","The School at Marygrove","82","Wayne","LEA School","High School","City: Large","Wayne Region","         3","208","92","116","1","0","202","0","0","5","0","0","0","0","0","0","0","0","0","0","0","92","116","0","0","124","13","<10"
"20 - 21 School Year","82","Wayne RESA","82015","Detroit Public Schools Community District","03662","The SER Learning Academy – East","82","Wayne","LEA School","High School","Not Specified","Wayne Region","         3","43","22","21","0","0","43","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","13","19","7","42","<10","<10"
"20 - 21 School Year","82","Wayne RESA","82015","Detroit Public Schools Community District","04156","Thirkell Elementary-Middle School","82","Wayne","LEA School","Elem_Middle School","City: Large","Wayne Region","         3","563","302","261","0","0","558","4","0","1","0","0","29","70","81","95","62","63","57","53","53","0","0","0","0","509","98","<10"
"20 - 21 School Year","82","Wayne RESA","82015","Detroit Public Schools Community District","00857","Thurgood Marshall Elementary School","82","Wayne","LEA School","Elem_Middle School","City: Large","Wayne Region","         3","447","244","203","1","0","441","4","0","0","1","0","42","49","65","48","61","38","41","46","57","0","0","0","0","397","103","<10"
"20 - 21 School Year","82","Wayne RESA","82015","Detroit Public Schools Community District","03284","Turning Point Academy","82","Wayne","LEA School","Elem thru High School","City: Large","Wayne Region","         3","37","24","13","0","0","36","0","0","0","1","0","0","0","0","1","0","4","2","3","8","9","3","6","1","33","34","<10"
"20 - 21 School Year","82","Wayne RESA","82015","Detroit Public Schools Community District","04292","Vernor Elementary School","82","Wayne","LEA School","Elem_Middle School","City: Large","Wayne Region","         3","246","126","120","0","0","244","1","1","0","0","0","34","43","27","40","31","30","20","21","0","0","0","0","0","213","24","<10"
"20 - 21 School Year","82","Wayne RESA","82015","Detroit Public Schools Community District","04406","Wayne Elementary School","82","Wayne","LEA School","Elementary","City: Large","Wayne Region","         3","304","150","154","0","0","304","0","0","0","0","0","44","48","56","47","56","53","0","0","0","0","0","0","0","281","32","<10"
"20 - 21 School Year","82","Wayne RESA","82015","Detroit Public Schools Community District","08929","West Side Academy of Information Technology and Cyber Security","82","Wayne","LEA School","High School","City: Large","Wayne Region","         3","274","156","118","1","0","266","4","0","3","0","0","0","0","0","0","0","0","0","0","0","73","81","60","60","252","69","<10"
"20 - 21 School Year","82","Wayne RESA","82015","Detroit Public Schools Community District","04477","Western International High School","82","Wayne","LEA School","High School","City: Large","Wayne Region","         3","2007","1068","939","6","2","364","1460","0","174","1","0","0","0","0","0","0","0","0","0","0","465","516","499","527","1543","220","1116"
"20 - 21 School Year","82","Wayne RESA","82953","Detroit Service Learning Academy","08704","Detroit Service Learning Academy Campus","82","Wayne","PSA School","Elem_Middle School","City: Large","Wayne Region","         3","917","476","441","0","1","916","0","0","0","0","0","87","106","106","107","103","90","109","103","106","0","0","0","0","914","88","<10"
"20 - 21 School Year","82","Wayne RESA","82953","Detroit Service Learning Academy","03655","Oak Park Service Learning Academy (OPSLA)","63","Oakland","PSA School","Elem_Middle School","Not Specified","Wayne Region","         3","62","34","28","0","0","62","0","0","0","0","0","0","12","13","13","8","8","8","0","0","0","0","0","0","62","<10","<10"
"20 - 21 School Year","82","Wayne RESA","82953","Detroit Service Learning Academy","02524","Redford Service Learning Academy Campus","82","Wayne","PSA School","Elem_Middle School","Suburb: Large","Wayne Region","         3","332","154","178","0","0","331","0","0","1","0","0","34","37","39","34","39","35","35","37","42","0","0","0","0","332","27","<10"
"20 - 21 School Year","82","Wayne RESA","82763","Distinctive College Prep.","03146","Distinctive College Prep - Harper Woods","82","Wayne","PSA School","Elem_Middle School","Suburb: Large","Wayne Region","         3","471","239","232","0","0","469","0","0","2","0","0","50","70","72","81","81","59","58","0","0","0","0","0","0","451","46","<10"
"20 - 21 School Year","82","Wayne RESA","82763","Distinctive College Prep.","03429","Distinctive College Prep - Redford","82","Wayne","PSA School","Elem_Middle School","Suburb: Large","Wayne Region","         3","219","114","105","1","0","212","1","0","3","2","0","28","50","39","45","28","29","0","0","0","0","0","0","0","206","12","<10"
"20 - 21 School Year","82","Wayne RESA","82930","Dove Academy of Detroit","08501","Dove Academy of Detroit","82","Wayne","PSA School","Elem_Middle School","City: Large","Wayne Region","         3","466","241","225","0","0","464","2","0","0","0","0","63","68","59","69","48","43","38","44","34","0","0","0","0","376","66","<10"
"20 - 21 School Year","82","Wayne RESA","82250","Ecorse Public Schools","02204","Downriver Digital Academy","82","Wayne","LEA School","Elem thru High School","Suburb: Large","Wayne Region","         3","4","2","2","0","0","3","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","1","2","4","<10","<10"
"20 - 21 School Year","82","Wayne RESA","82250","Ecorse Public Schools","01069","Ecorse Community High School","82","Wayne","LEA School","Middle_High School","Suburb: Large","Wayne Region","         3","291","165","126","1","0","234","22","0","31","3","0","0","0","0","0","0","0","0","0","0","87","79","66","59","237","41","19"
"20 - 21 School Year","82","Wayne RESA","82250","Ecorse Public Schools","03414","GrandPort Elementary Academy","82","Wayne","LEA School","Elem_Middle School","Suburb: Large","Wayne Region","         3","391","221","170","0","2","308","38","0","39","4","0","0","0","0","0","84","83","84","72","68","0","0","0","0","340","46","26"
"20 - 21 School Year","82","Wayne RESA","82250","Ecorse Public Schools","03299","Hope Academic Academy","82","Wayne","LEA School","High School","Suburb: Large","Wayne Region","         3","49","25","24","0","0","33","6","0","10","0","0","0","0","0","0","0","0","0","0","0","0","4","15","30","42","<10","<10"
"20 - 21 School Year","82","Wayne RESA","82250","Ecorse Public Schools","03144","Ralph J. Bunche Academy","82","Wayne","LEA School","Elementary","Suburb: Large","Wayne Region","         3","341","179","162","0","1","292","19","0","28","1","0","94","94","90","63","0","0","0","0","0","0","0","0","0","313","29","16"
"20 - 21 School Year","82","Wayne RESA","82744","Escuela Avancemos","01369","Escuela Avancemos","82","Wayne","PSA School","Elem_Middle School","City: Large","Wayne Region","         3","348","193","155","2","0","9","325","0","12","0","0","37","49","47","49","46","41","42","37","0","0","0","0","0","346","29","321"
"20 - 21 School Year","82","Wayne RESA","82997","Flagship Charter Academy","09785","Flagship Charter Academy","82","Wayne","PSA School","Elem_Middle School","City: Large","Wayne Region","         3","725","354","371","0","0","689","3","1","1","31","0","84","93","82","83","88","83","87","68","57","0","0","0","0","705","59","<10"
"20 - 21 School Year","82","Wayne RESA","82180","Flat Rock Community Schools","01169","Ethel C. Bobcean Elem. School","82","Wayne","LEA School","Elementary","Suburb: Large","Wayne Region","         3","383","190","193","0","1","17","24","0","313","28","0","148","103","132","0","0","0","0","0","0","0","0","0","0","201","70","<10"
"20 - 21 School Year","82","Wayne RESA","82180","Flat Rock Community Schools","02336","Flat Rock Academic Virtual Academy 6-12","82","Wayne","LEA School","Middle_High School","Suburb: Large","Wayne Region","         3","138","67","71","0","0","11","9","0","109","9","0","0","0","0","0","0","0","0","3","5","8","21","34","67","82","19","<10"
"20 - 21 School Year","82","Wayne RESA","82180","Flat Rock Community Schools","01246","Flat Rock Community High School","82","Wayne","LEA School","High School","Suburb: Large","Wayne Region","         3","514","239","275","0","11","22","41","0","424","16","0","0","0","0","0","0","0","0","0","0","146","127","139","102","175","74","<10"
"20 - 21 School Year","82","Wayne RESA","82180","Flat Rock Community Schools","05233","John M. Barnes Elem. School","82","Wayne","LEA School","Elementary","Suburb: Large","Wayne Region","         3","364","188","176","1","0","17","23","0","315","8","0","0","0","0","122","120","122","0","0","0","0","0","0","0","148","50","<10"
"20 - 21 School Year","82","Wayne RESA","82180","Flat Rock Community Schools","04172","Thomas Simpson Middle School","82","Wayne","LEA School","Middle School","Suburb: Large","Wayne Region","         3","434","216","218","1","3","25","30","0","365","10","0","0","0","0","0","0","0","145","137","152","0","0","0","0","171","67","<10"
"20 - 21 School Year","82","Wayne RESA","82772","Fostering Leadership Academy","03853","Fostering Leadership Academy","82","Wayne","PSA School","Elem_Middle School","Not Specified","Wayne Region","         3","22","20","2","0","0","1","1","10","9","1","0","0","0","0","0","0","0","4","12","6","0","0","0","0","18","16","<10"
"20 - 21 School Year","82","Wayne RESA","82987","Frontier International Academy","09609","Frontier International Academy","82","Wayne","PSA School","Elem thru High School","City: Large","Wayne Region","         3","711","334","377","1","178","74","2","0","456","0","0","29","25","29","29","23","32","0","0","0","165","138","120","121","708","34","445"
"20 - 21 School Year","82","Wayne RESA","82987","Frontier International Academy","03274","Frontier International Academy - Elementary","50","Macomb","PSA School","Elem_Middle School","City: Midsize","Wayne Region","         3","162","83","79","0","128","16","0","0","18","0","0","29","32","31","25","15","19","11","0","0","0","0","0","0","162","<10","93"
"20 - 21 School Year","82","Wayne RESA","82050","Garden City Public Schools","04674","Burger Development Center","82","Wayne","LEA School","Elem thru High School","Suburb: Large","Wayne Region","         3","180","143","37","0","9","51","6","0","112","2","0","0","0","2","3","6","5","4","8","8","9","9","12","15","81","180","<10"
"20 - 21 School Year","82","Wayne RESA","82050","Garden City Public Schools","07376","Cambridge Alternative High School","82","Wayne","LEA School","High School","Suburb: Large","Wayne Region","         3","322","180","142","5","1","105","12","0","194","5","0","0","0","0","0","0","0","0","0","0","12","94","82","134","255","44","<10"
"20 - 21 School Year","82","Wayne RESA","82050","Garden City Public Schools","00513","Douglas Elementary 3-4 Campus","82","Wayne","LEA School","Elementary","Suburb: Large","Wayne Region","         3","404","202","202","3","4","34","28","1","311","23","0","0","0","0","199","205","0","0","0","0","0","0","0","0","238","80","21"
"20 - 21 School Year","82","Wayne RESA","82050","Garden City Public Schools","00514","Farmington 5-6 Campus","82","Wayne","LEA School","Elem_Middle School","Suburb: Large","Wayne Region","         3","440","230","210","2","4","46","25","1","334","28","0","0","0","0","0","0","220","220","0","0","0","0","0","0","260","80","16"
"20 - 21 School Year","82","Wayne RESA","82050","Garden City Public Schools","01359","Garden City High School","82","Wayne","LEA School","High School","Suburb: Large","Wayne Region","         3","882","430","452","3","10","69","54","1","723","22","0","0","0","0","0","0","0","0","0","0","251","217","207","207","405","87","31"
"20 - 21 School Year","82","Wayne RESA","82050","Garden City Public Schools","04463","Garden City Middle School","82","Wayne","LEA School","Middle School","Suburb: Large","Wayne Region","         3","486","245","241","2","7","40","26","0","394","17","0","0","0","0","0","0","0","0","241","245","0","0","0","0","255","81","15"
"20 - 21 School Year","82","Wayne RESA","82050","Garden City Public Schools","00516","Lathers Early Childhood and Kindergarten Center","82","Wayne","LEA School","Elementary","Suburb: Large","Wayne Region","         3","228","111","117","1","1","27","14","0","175","10","0","228","0","0","0","0","0","0","0","0","0","0","0","0","146","24","<10"
"20 - 21 School Year","82","Wayne RESA","82050","Garden City Public Schools","00523","Memorial Elementary 1-2 Campus","82","Wayne","LEA School","Elementary","Suburb: Large","Wayne Region","         3","435","215","220","1","1","36","33","1","339","24","0","0","221","214","0","0","0","0","0","0","0","0","0","0","277","75","11"
"20 - 21 School Year","82","Wayne RESA","82937","George Crockett Academy","08635","George Crockett Academy","82","Wayne","PSA School","Elem_Middle School","City: Large","Wayne Region","         3","391","207","184","0","0","391","0","0","0","0","0","26","46","48","50","49","45","41","38","48","0","0","0","0","391","59","<10"
"20 - 21 School Year","82","Wayne RESA","82963","George Washington Carver Academy","02484","George Washington Carver Elementary School","82","Wayne","PSA School","Elementary","Suburb: Large","Wayne Region","         3","319","157","162","0","0","318","0","0","1","0","0","60","79","70","62","48","0","0","0","0","0","0","0","0","318","22","<10"
"20 - 21 School Year","82","Wayne RESA","82963","George Washington Carver Academy","02488","George Washington Carver Middle School","82","Wayne","PSA School","Elem_Middle School","Suburb: Large","Wayne Region","         3","186","88","98","0","0","183","0","0","2","1","0","0","0","0","0","0","64","42","40","40","0","0","0","0","186","22","<10"
"20 - 21 School Year","82","Wayne RESA","82290","Gibraltar School District","00637","Chapman Elementary School","82","Wayne","LEA School","Elementary","Suburb: Large","Wayne Region","         3","318","165","153","1","2","1","20","0","289","5","0","43","47","57","48","68","55","0","0","0","0","0","0","0","79","30","<10"
"20 - 21 School Year","82","Wayne RESA","82290","Gibraltar School District","06951","Frank E. Weiss Elem. School","82","Wayne","LEA School","Elementary","Suburb: Large","Wayne Region","         3","208","103","105","0","3","20","25","0","151","9","0","31","30","31","35","43","38","0","0","0","0","0","0","0","90","42","15"
"20 - 21 School Year","82","Wayne RESA","82290","Gibraltar School District","05417","Hunter Elementary School","82","Wayne","LEA School","Elementary","Suburb: Large","Wayne Region","         3","286","143","143","1","4","10","19","0","241","11","0","63","45","56","41","46","35","0","0","0","0","0","0","0","80","50","<10"
"20 - 21 School Year","82","Wayne RESA","82290","Gibraltar School District","02967","Lakeshore Virtual School","82","Wayne","LEA School","Elem thru High School","Suburb: Large","Wayne Region","         3","722","379","343","0","21","94","78","5","475","49","0","64","57","67","65","67","62","48","93","64","34","43","35","23","332","159","24"
"20 - 21 School Year","82","Wayne RESA","82290","Gibraltar School District","00525","Oscar A. Carlson High School","82","Wayne","LEA School","High School","Suburb: Large","Wayne Region","         3","1103","563","540","0","27","72","63","1","900","40","0","0","0","0","0","0","0","0","0","0","293","308","281","221","261","125","11"
"20 - 21 School Year","82","Wayne RESA","82290","Gibraltar School District","00715","Parsons Elementary School","82","Wayne","LEA School","Elementary","Suburb: Large","Wayne Region","         3","314","149","165","1","2","8","23","0","262","18","0","46","55","43","49","65","56","0","0","0","0","0","0","0","55","40","<10"
"20 - 21 School Year","82","Wayne RESA","82290","Gibraltar School District","06681","Shumate Middle School","82","Wayne","LEA School","Middle School","Suburb: Large","Wayne Region","         3","604","319","285","1","5","22","39","0","512","25","0","0","0","0","0","0","0","200","194","210","0","0","0","0","131","75","<10"
"20 - 21 School Year","82","Wayne RESA","82725","Global Heights Academy","00442","Global Heights Academy","82","Wayne","PSA School","Elementary","Suburb: Large","Wayne Region","         3","234","104","130","0","0","184","7","0","37","6","0","32","41","38","44","40","39","0","0","0","0","0","0","0","234","28","27"
"20 - 21 School Year","82","Wayne RESA","82300","Grosse Ile Township Schools","01511","Grosse Ile High School","82","Wayne","LEA School","High School","Suburb: Large","Wayne Region","         3","588","287","301","3","26","5","26","0","515","13","0","0","0","0","0","0","0","0","0","0","160","139","156","133","63","49","<10"
"20 - 21 School Year","82","Wayne RESA","82300","Grosse Ile Township Schools","01510","Grosse Ile Middle School","82","Wayne","LEA School","Middle School","Suburb: Large","Wayne Region","         3","381","196","185","0","5","2","24","0","337","13","0","0","0","0","0","0","0","139","130","112","0","0","0","0","41","38","<10"
"20 - 21 School Year","82","Wayne RESA","82300","Grosse Ile Township Schools","05712","Meridian Elementary School","82","Wayne","LEA School","Elementary","Suburb: Large","Wayne Region","         3","409","202","207","0","8","1","25","0","366","9","0","0","0","0","139","130","140","0","0","0","0","0","0","0","38","57","<10"
"20 - 21 School Year","82","Wayne RESA","82300","Grosse Ile Township Schools","02948","Parke Lane Elementary School","82","Wayne","LEA School","Elementary","Suburb: Large","Wayne Region","         3","334","178","156","0","9","3","23","0","291","8","0","131","97","106","0","0","0","0","0","0","0","0","0","0","40","40","<10"
"20 - 21 School Year","82","Wayne RESA","82055","Grosse Pointe Public Schools","00424","Brownell Middle School","82","Wayne","LEA School","Elem_Middle School","Suburb: Large","Wayne Region","         3","607","321","286","2","12","51","23","0","503","16","0","0","0","0","0","0","143","143","166","155","0","0","0","0","61","66","<10"
"20 - 21 School Year","82","Wayne RESA","82055","Grosse Pointe Public Schools","01226","Ferry Elementary School","82","Wayne","LEA School","Elementary","Suburb: Large","Wayne Region","         3","317","171","146","0","5","20","7","0","270","15","0","61","64","49","68","75","0","0","0","0","0","0","0","0","33","52","<10"
"20 - 21 School Year","82","Wayne RESA","82055","Grosse Pointe Public Schools","01386","George Defer Elementary School","82","Wayne","LEA School","Elementary","Suburb: Large","Wayne Region","         3","427","204","223","0","2","38","12","0","333","42","0","97","78","80","93","79","0","0","0","0","0","0","0","0","79","55","<10"
"20 - 21 School Year","82","Wayne RESA","82055","Grosse Pointe Public Schools","05142","Grosse Pointe North High School","82","Wayne","LEA School","High School","Suburb: Large","Wayne Region","         3","1188","596","592","3","20","336","39","1","743","46","0","0","0","0","0","0","0","0","0","0","287","293","300","291","284","156","<10"
"20 - 21 School Year","82","Wayne RESA","82055","Grosse Pointe Public Schools","01512","Grosse Pointe South High School","82","Wayne","LEA School","High School","Suburb: Large","Wayne Region","         3","1412","720","692","4","23","95","65","0","1185","40","0","0","0","0","0","0","0","0","0","0","315","338","352","374","158","121","<10"
"20 - 21 School Year","82","Wayne RESA","82055","Grosse Pointe Public Schools","02597","John Monteith Elementary School","82","Wayne","LEA School","Elementary","Suburb: Large","Wayne Region","         3","476","269","207","3","10","102","21","0","306","34","0","124","98","95","81","78","0","0","0","0","0","0","0","0","111","83","11"
"20 - 21 School Year","82","Wayne RESA","82055","Grosse Pointe Public Schools","02026","Kerby Elementary School","82","Wayne","LEA School","Elementary","Suburb: Large","Wayne Region","         3","253","130","123","0","5","11","5","0","224","8","0","54","42","53","50","54","0","0","0","0","0","0","0","0","40","33","<10"
"20 - 21 School Year","82","Wayne RESA","82055","Grosse Pointe Public Schools","02172","Lewis Maire Elementary School","82","Wayne","LEA School","Elementary","Suburb: Large","Wayne Region","         3","259","145","114","0","4","8","13","0","219","15","0","63","58","39","55","44","0","0","0","0","0","0","0","0","23","26","<10"
"20 - 21 School Year","82","Wayne RESA","82055","Grosse Pointe Public Schools","02937","Parcells Middle School","82","Wayne","LEA School","Elem_Middle School","Suburb: Large","Wayne Region","         3","785","400","385","4","17","266","21","0","441","36","0","0","0","0","0","0","159","196","225","205","0","0","0","0","276","95","<10"
"20 - 21 School Year","82","Wayne RESA","82055","Grosse Pointe Public Schools","03031","Pierce Middle School","82","Wayne","LEA School","Elem_Middle School","Suburb: Large","Wayne Region","         3","570","293","277","1","17","49","14","0","456","33","0","0","0","0","0","0","133","138","133","166","0","0","0","0","85","61","<10"
"20 - 21 School Year","82","Wayne RESA","82055","Grosse Pointe Public Schools","03007","Richard Elementary School","82","Wayne","LEA School","Elementary","Suburb: Large","Wayne Region","         3","255","140","115","1","6","5","10","0","226","7","0","65","44","43","45","58","0","0","0","0","0","0","0","0","21","43","<10"
"20 - 21 School Year","82","Wayne RESA","82055","Grosse Pointe Public Schools","02430","Stevens T. Mason Elementary School","82","Wayne","LEA School","Elementary","Suburb: Large","Wayne Region","         3","300","154","146","2","2","117","9","0","146","24","0","63","54","58","61","64","0","0","0","0","0","0","0","0","126","53","<10"
"20 - 21 School Year","82","Wayne RESA","82977","Hamtramck Academy","09307","Hamtramck Academy","82","Wayne","PSA School","Elem_Middle School","Suburb: Large","Wayne Region","         3","542","254","288","1","400","51","3","0","79","8","0","53","62","62","59","63","62","62","60","59","0","0","0","0","521","27","302"
"20 - 21 School Year","82","Wayne RESA","82060","Hamtramck, School District of the City of","07474","Dickinson East Elementary School","82","Wayne","LEA School","Elem_Middle School","Suburb: Large","Wayne Region","         3","704","407","297","0","222","43","2","0","424","13","0","70","83","95","112","116","108","120","0","0","0","0","0","0","627","35","467"
"20 - 21 School Year","82","Wayne RESA","82060","Hamtramck, School District of the City of","00916","Dickinson West Elementary School","82","Wayne","LEA School","Elem_Middle School","Suburb: Large","Wayne Region","         3","428","245","183","0","118","100","0","0","207","3","0","34","47","57","64","75","75","76","0","0","0","0","0","0","382","23","259"
"20 - 21 School Year","82","Wayne RESA","82060","Hamtramck, School District of the City of","08897","Early Childhood Elementary School","82","Wayne","LEA School","Elementary","Suburb: Large","Wayne Region","         3","149","76","73","0","62","13","0","0","73","1","0","53","45","51","0","0","0","0","0","0","0","0","0","0","127","<10","99"
"20 - 21 School Year","82","Wayne RESA","82060","Hamtramck, School District of the City of","01554","Hamtramck High School","82","Wayne","LEA School","High School","Suburb: Large","Wayne Region","         3","1043","602","441","0","376","126","2","0","528","11","0","0","0","0","0","0","0","0","0","0","274","320","234","215","898","72","616"
"20 - 21 School Year","82","Wayne RESA","82060","Hamtramck, School District of the City of","01689","Holbrook School","82","Wayne","LEA School","Elem_Middle School","Suburb: Large","Wayne Region","         3","222","125","97","0","12","5","0","0","205","0","0","19","23","22","28","24","29","25","25","27","0","0","0","0","209","<10","182"
"20 - 21 School Year","82","Wayne RESA","82060","Hamtramck, School District of the City of","09948","Horizon High School","82","Wayne","LEA School","High School","Suburb: Large","Wayne Region","         3","133","104","29","0","22","42","1","0","65","3","0","0","0","0","0","0","0","0","0","0","15","48","32","38","120","<10","71"
"20 - 21 School Year","82","Wayne RESA","82060","Hamtramck, School District of the City of","02055","Kosciuszko School","82","Wayne","LEA School","Middle School","Suburb: Large","Wayne Region","         3","353","181","172","1","130","54","0","0","162","6","0","0","0","0","0","0","0","0","156","197","0","0","0","0","315","30","192"
"20 - 21 School Year","82","Wayne RESA","82060","Hamtramck, School District of the City of","03250","Tau Beta School","82","Wayne","LEA School","Elem_Middle School","Suburb: Large","Wayne Region","         3","265","144","121","0","14","0","0","0","250","1","0","24","26","31","29","45","27","24","29","30","0","0","0","0","251","<10","217"
"20 - 21 School Year","82","Wayne RESA","82986","Hanley International Academy","09606","Hanley International Academy","82","Wayne","PSA School","Elem_Middle School","Suburb: Large","Wayne Region","         3","644","346","298","0","509","116","0","0","19","0","0","72","75","75","73","73","74","70","72","60","0","0","0","0","624","63","256"
"20 - 21 School Year","82","Wayne RESA","82320","Harper Woods, The School District of the City of","00233","Beacon Elementary School","82","Wayne","LEA School","Elementary","Suburb: Large","Wayne Region","         3","349","191","158","0","0","329","5","0","8","7","0","97","134","118","0","0","0","0","0","0","0","0","0","0","274","38","<10"
"20 - 21 School Year","82","Wayne RESA","82320","Harper Woods, The School District of the City of","01550","Diploma Success Community School","82","Wayne","LEA School","Elem thru High School","Suburb: Large","Wayne Region","         3","95","62","33","0","0","93","0","0","1","1","0","0","0","0","0","0","0","0","0","0","6","33","34","22","73","<10","<10"
"20 - 21 School Year","82","Wayne RESA","82320","Harper Woods, The School District of the City of","00844","Harper Academy","82","Wayne","LEA School","High School","Suburb: Large","Wayne Region","         3","36","20","16","0","0","34","0","0","2","0","0","0","0","0","0","0","0","0","0","0","1","1","11","23","30","<10","<10"
"20 - 21 School Year","82","Wayne RESA","82320","Harper Woods, The School District of the City of","01578","Harper Woods High School","82","Wayne","LEA School","High School","Suburb: Large","Wayne Region","         3","885","441","444","0","1","863","2","0","18","1","0","0","0","0","0","0","0","0","0","0","246","228","249","162","639","118","<10"
"20 - 21 School Year","82","Wayne RESA","82320","Harper Woods, The School District of the City of","09753","Harper Woods Middle School","82","Wayne","LEA School","Middle School","Suburb: Large","Wayne Region","         3","380","205","175","0","1","366","2","0","11","0","0","0","0","0","0","0","0","103","131","146","0","0","0","0","289","46","<10"
"20 - 21 School Year","82","Wayne RESA","82320","Harper Woods, The School District of the City of","02224","Harper Woods Virtual Academy","82","Wayne","LEA School","Elem thru High School","Suburb: Large","Wayne Region","         3","269","126","143","1","1","168","9","0","87","3","0","0","0","0","0","0","0","4","8","12","56","73","86","30","207","<10","29"
"20 - 21 School Year","82","Wayne RESA","82320","Harper Woods, The School District of the City of","04240","Tyrone Elementary School","82","Wayne","LEA School","Elementary","Suburb: Large","Wayne Region","         3","305","176","129","1","1","283","5","0","14","1","0","0","0","0","95","104","106","0","0","0","0","0","0","0","237","45","<10"
"20 - 21 School Year","82","Wayne RESA","82926","Henry Ford Academy","08471","Henry Ford Academy","82","Wayne","PSA School","High School","City: Small","Wayne Region","         3","513","263","250","2","5","295","63","0","144","4","0","0","0","0","0","0","0","0","0","0","149","140","123","101","265","58","47"
"20 - 21 School Year","82","Wayne RESA","82749","Highland Park Public School Academy System","03228","Barber Elementary School","82","Wayne","PSA School","Elem_Middle School","Suburb: Large","Wayne Region","         3","273","155","118","1","0","270","0","0","1","1","0","29","32","38","33","34","33","28","20","26","0","0","0","0","269","22","<10"
"20 - 21 School Year","82","Wayne RESA","82942","Hope Academy","08637","Hope Academy","82","Wayne","PSA School","Elem_Middle School","City: Large","Wayne Region","         3","456","220","236","0","0","452","4","0","0","0","0","42","57","57","52","51","46","54","41","56","0","0","0","0","393","38","<10"
"20 - 21 School Year","82","Wayne RESA","82957","Hope of Detroit Academy","08722","Hope of Detroit Academy - Elementary","82","Wayne","PSA School","Elementary","City: Large","Wayne Region","         3","389","196","193","0","0","40","340","0","8","1","0","52","82","87","83","85","0","0","0","0","0","0","0","0","378","58","274"
"20 - 21 School Year","82","Wayne RESA","82957","Hope of Detroit Academy","03043","Hope of Detroit Academy - Middle/High","82","Wayne","PSA School","Elem thru High School","City: Large","Wayne Region","         3","639","346","293","0","0","63","564","0","10","2","0","0","0","0","0","0","86","92","93","93","71","79","72","53","611","90","366"
"20 - 21 School Year","82","Wayne RESA","82340","Huron School District","03219","Brown Elementary School","82","Wayne","LEA School","Elementary","Suburb: Large","Wayne Region","         3","503","274","229","0","3","8","35","0","435","22","0","76","88","89","82","83","85","0","0","0","0","0","0","0","155","81","14"
"20 - 21 School Year","82","Wayne RESA","82340","Huron School District","05184","Carl T. Renton Jr. High School","82","Wayne","LEA School","Middle School","Suburb: Large","Wayne Region","         3","639","318","321","3","3","21","41","1","541","29","0","0","0","0","0","0","0","202","222","215","0","0","0","0","170","84","<10"
"20 - 21 School Year","82","Wayne RESA","82340","Huron School District","01799","Huron High School","82","Wayne","LEA School","High School","Suburb: Large","Wayne Region","         3","815","402","413","4","14","16","50","0","701","30","0","0","0","0","0","0","0","0","0","0","180","237","202","196","199","118","<10"
"20 - 21 School Year","82","Wayne RESA","82340","Huron School District","05780","William D. Miller Elem. School","82","Wayne","LEA School","Elementary","Suburb: Large","Wayne Region","         3","523","275","248","1","3","8","16","0","474","21","0","82","95","78","91","81","96","0","0","0","0","0","0","0","167","106","10"
